BKG_NO,BKG_DT,BKG_SHPR_CST_NO,BKG_SHPR_CST_ENM,ACT_SHPR_CST_ENM,POR_PLC_CD,POL_PORT_CD,POD_PORT_CD,DLY_PLC_CD,FRT_PNC_CD,TEU
TH00555509,20200102,DHL02T,DHL GLOBAL FORWARDING (THAILAND) LTD.,INGREDION (THAILAND) CO.,LTD.,LCH,LCH,HIJ,HIJ,P,2
TH00555505,20200102,DHL02T,DHL GLOBAL FORWARDING (THAILAND) LTD.,INGREDION (THAILAND) CO.,LTD.,LCH,LCH,SIN,SIN,P,1
TH00555433,20200102,DHL02T,DHL GLOBAL FORWARDING (THAILAND) LTD.,INGREDION (THAILAND) CO.,LTD.,LCH,LCH,YOK,YOK,P,1
TH00555487,20200102,DHL02T,DHL GLOBAL FORWARDING (THAILAND) LTD.,INGREDION (THAILAND) CO.,LTD.,LCH,LCH,YOK,YOK,P,1
TH00555495,20200102,DHL02T,DHL GLOBAL FORWARDING (THAILAND) LTD.,INGREDION (THAILAND) CO.,LTD.,LCH,LCH,YOK,YOK,P,1
TH00555435,20200102,DHL02T,DHL GLOBAL FORWARDING (THAILAND) LTD.,INGREDION (THAILAND) CO.,LTD.,LCH,LCH,YOK,YOK,P,1
TH00555492,20200102,DHL02T,DHL GLOBAL FORWARDING (THAILAND) LTD.,INGREDION (THAILAND) CO.,LTD.,LCH,LCH,YOK,YOK,P,1
TH00555498,20200102,DHL02T,DHL GLOBAL FORWARDING (THAILAND) LTD.,INGREDION (THAILAND) CO.,LTD.,LCH,LCH,YOK,YOK,P,1
TH00555490,20200102,DHL02T,DHL GLOBAL FORWARDING (THAILAND) LTD.,INGREDION (THAILAND) CO.,LTD.,LCH,LCH,YOK,YOK,P,1
TH00555494,20200102,DHL02T,DHL GLOBAL FORWARDING (THAILAND) LTD.,INGREDION (THAILAND) CO.,LTD.,LCH,LCH,YOK,YOK,P,1
IN00236544,20200102,DIV00I,DIVYA SHIPPING & CLEARING SERVICES PVT LTD,SAGAR MANUFACTURERS PVT LTD,NSA,NSA,PNC,PNC,P,2
IN00236531,20200102,DIV701,DIVYA SHIPPING & CLEARING SERVICES PVT LTD,BALKRISHNA,PTI,MUN,SHA,SHA,P,1
IN00236513,20200102,DIV701,DIVYA SHIPPING & CLEARING SERVICES PVT LTD,BALKRISHNA,PTI,MUN,SIN,SIN,P,2
HK01069490,20200102,DLGZ01,DONGNAM LOGISTICS LTD,DONGNAM LOGISTICS LTD,SSN,SSN,INC,INC,P,2
